"ID","Collection","ENS","Minting Date","Tx Count","Power"
"2346793","0x5772446f8fa833e1b38152efdddceca5b172cd13","","Thu, 28 Oct 2021 06:59:05 GMT","1","3"
"2346807","0xfbf2c698b651b8745f871a92cb3e232701d5fd29","","Thu, 28 Oct 2021 07:01:12 GMT","1","7"
"2346839","0x3114835ba10fb03ee427774d6d06c9e94c44fdde","","Thu, 28 Oct 2021 07:04:30 GMT","1","1"
"2346848","0x4d8d2ddc4560252ae2edefbaaa6dd12144155014","sushen.eth","Thu, 28 Oct 2021 07:06:05 GMT","1","2"
"2346851","0xb7658aac84dbe5924badc9d780c36442dd46306e","","Thu, 28 Oct 2021 07:07:17 GMT","1","8"
"2346861","0xa8293dd8eb52564a35b8357a539146321b934153","lbjames.eth","Thu, 28 Oct 2021 07:07:50 GMT","1","435"
"2346873","0xc4ea86f3a2ce78288a16b87d5717eee2dd01ef00","","Thu, 28 Oct 2021 07:09:40 GMT","1","9"
"2346879","0x695e4039fbb7871eb62b019a6d3508f87090b3a6","","Thu, 28 Oct 2021 07:10:10 GMT","1","9"
"2346885","0x22cb546987dd534d077f584dd099e264805d1fb1","","Thu, 28 Oct 2021 07:10:40 GMT","1","7"
"2346891","0x2bf8ebb57d2d46f5aeaa13373bc9cff4f06ef777","","Thu, 28 Oct 2021 07:11:15 GMT","1","8"
"2346901","0xa69e8977041187288af3acb79a74dc29c23d7922","","Thu, 28 Oct 2021 07:12:25 GMT","1","10"
"2346903","0x761bcf2b77450cbe042209fd40b1385877302b91","","Thu, 28 Oct 2021 07:12:50 GMT","1","2"
"2346904","0x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93","","Thu, 28 Oct 2021 07:12:50 GMT","1","174"
"2346905","0x9f72c4b227880032eff473cc674a75ebfa324c7c","","Thu, 28 Oct 2021 07:12:55 GMT","1","11"
"2346907","0xc74b85298b6262690af60e42f39ceeb97a75d980","","Thu, 28 Oct 2021 07:13:20 GMT","1","10"
"2346910","0xea9eedbde9c8f620d1df0afd48cf27cf73a8a3b0","","Thu, 28 Oct 2021 07:14:10 GMT","1","11"
"2346911","0x02228784b938b4463de83d66bbfcde22682569d9","yellowcurtain.eth","Thu, 28 Oct 2021 07:14:40 GMT","1","25"
"2346912","0x1d6c45c00e00eecc9d8204b5d29c7b72afd5faf4","markengelhardt.eth","Thu, 28 Oct 2021 07:16:30 GMT","1","6"
"2346915","0x019154236954baca79f9d855a08cfafaaafb7f4f","","Thu, 28 Oct 2021 07:17:25 GMT","1","9"
"2346928","0xb884b236239ee4cdab9eb9d2dbf1d44834b1476e","","Thu, 28 Oct 2021 07:22:35 GMT","1","1"
"2346929","0xe7aa7af667016837733f3ca3809bde04697730ef","devtooligan.eth","Thu, 28 Oct 2021 07:22:45 GMT","1","2"
"2346935","0x7d9a8c475b55e70f2d9837c853ee145ccca9d249","","Thu, 28 Oct 2021 07:25:15 GMT","1","1"
"2346936","0xbe7bcdbf219213bd764298ba6b3d3e621d3dceee","","Thu, 28 Oct 2021 07:25:20 GMT","1","1"
"2346939","0x20486499525835c04c293d2eec948022fe7dc2f1","","Thu, 28 Oct 2021 07:27:20 GMT","1","1"
"2346941","0x52434cd9e4e4f965a20c8576841cbaac4b2ba30e","sysadmincrypto.eth","Thu, 28 Oct 2021 07:29:27 GMT","1","6"
"2346946","0x644c9dc206733f3dccecf526bb09fd6d5170b246","","Thu, 28 Oct 2021 07:33:00 GMT","1","3"
"2346950","0x74bf5b9972da24406c2c046494a5ccbe2fba28dc","","Thu, 28 Oct 2021 07:35:15 GMT","1","33"
"2346959","0x61c4a38d7e9ea4095fa7d507cf72bf61eb5e1556","","Thu, 28 Oct 2021 07:38:05 GMT","1","5"
"2346961","0x65bea6b70a89bb5e93af077739bf18e1d17a7dd1","","Thu, 28 Oct 2021 07:39:05 GMT","1","1"
"2346966","0x1cc6938596b6ec52dad1957f8fff98c105e868c7","markod.eth","Thu, 28 Oct 2021 07:41:55 GMT","1","17"
"2346969","0x0283d0360cc60f45e050703233b361d3a6457b9f","","Thu, 28 Oct 2021 07:42:40 GMT","1","3"
"2346973","0x9b71b4dc9e9dcefaf0e291cf2dc5135a862a463d","","Thu, 28 Oct 2021 07:44:55 GMT","1","4"
"2347012","0x8afd5bffbaa9176d8ed04a865e2236c15423f9cc","","Thu, 28 Oct 2021 07:49:20 GMT","1","1"
"2347016","0x1ca1c50fc5ba4267e8f168bd34b1a6673b84d85e","","Thu, 28 Oct 2021 07:50:50 GMT","1","2"
"2347018","0xf23b38099188fd5892346104bbef2f1c11d10244","poulet.eth","Thu, 28 Oct 2021 07:51:37 GMT","1","2"
"2347058","0x73e325a8f9bd07228bef1e859bc7de34b855fd85","woody.eth","Thu, 28 Oct 2021 07:55:10 GMT","1","1"
"2347071","0x38140e35fda3f160ddb06e0637488a3e174acbbc","","Thu, 28 Oct 2021 07:57:28 GMT","1","14"
"2347099","0xd9fdd7314cc201bcb3a1a5455b4c458a76eca718","dorumuntean.eth","Thu, 28 Oct 2021 08:02:00 GMT","1","18"
"2347100","0xad0d48a8eeca41da04bf4697b41ffeabca9d9c5f","","Thu, 28 Oct 2021 08:02:25 GMT","1","7"
"2347103","0x58bcd7dd3c76225fdb7a53fa81cca08a2aff0f33","","Thu, 28 Oct 2021 08:02:50 GMT","1","4"
"2347107","0xc260b3e56b4eea29a8c4ed2df10271b709322a4c","stoyan.eth","Thu, 28 Oct 2021 08:03:05 GMT","1","1"
"2347108","0xc912e55e813753f91f96054eacf4e342a6061f1a","sathaxe.eth","Thu, 28 Oct 2021 08:03:05 GMT","1","4"
"2347118","0xbcce06bfdc04efef4b824ff74e358521cc096111","","Thu, 28 Oct 2021 08:06:00 GMT","1","1"
"2347128","0x35434a35c19cabc4bd508edf538cc1cf33bda688","jantto.eth","Thu, 28 Oct 2021 08:06:50 GMT","1","2"
"2347132","0x6b2ebfe3fe5c5b84746105421de93df383b222e8","","Thu, 28 Oct 2021 08:07:35 GMT","1","4"
"2347169","0x8c833a6c7f2ace55d283b3b52edb39efe67932e0","nathantodamoon.eth","Thu, 28 Oct 2021 08:11:50 GMT","1","38"
"2347180","0xd127c0c480fb631e545f687df5a4bac6b6ba4823","micfox.eth","Thu, 28 Oct 2021 08:15:15 GMT","1","4"
"2347185","0xa0c8f98501fda2f29e1d6a1845cc195353ced672","","Thu, 28 Oct 2021 08:15:15 GMT","1","7"
"2347193","0x63e62588330657c99ba79139e7c21af0c0db1e7e","","Thu, 28 Oct 2021 08:15:22 GMT","1","5"
"2347264","0x7140640f5917847e39e4ba86d0853915117a1c5f","","Thu, 28 Oct 2021 08:25:00 GMT","1","12"
"2347299","0x600dcd99dc4056e5d2a6864a335d75dc64f9a945","highlevel.eth","Thu, 28 Oct 2021 08:28:05 GMT","1","29"
"2347350","0x5d4fe11cd67cf21a5b7e75efb12388cd2c250b5a","","Thu, 28 Oct 2021 08:34:45 GMT","1","1"
"2347436","0xede845aeb68ad7d3ff376090d15327765c444719","","Thu, 28 Oct 2021 08:44:15 GMT","1","4"
"2347451","0x3aaf1cb151c85484c862b56b7db7d82488432fcf","","Thu, 28 Oct 2021 08:45:05 GMT","1","39"
"2347475","0xfc567a525bd613fe892dc62634264a4b78e6d52f","","Thu, 28 Oct 2021 08:48:05 GMT","1","6"
